기업명,사건번호,신청일,법원,업종,뉴스건수,수집일시
"주식회사 케이아이엔티","2026회합5004",2026-03-31,"광주회생법원","",0,2026-05-03
"주식회사 마루종합식품","2026회합114",2026-03-31,"대구회생법원","",0,2026-05-03
"주식회사 나노엔지니어링","2026회합103",2026-03-31,"대구회생법원","",9,2026-05-03
"의료법인 은혜의료재단","2025회합5023",2026-03-31,"대전회생법원","",0,2026-05-03
"주식회사 지앤종합건설","2025회합1045",2026-03-31,"부산회생법원","",0,2026-05-03
"갤러리360 주식회사","2025간회합188",2026-03-31,"서울회생법원","",0,2026-05-03
"주식회사 오오엘프로젝트","2025간회합261",2026-03-31,"서울회생법원","",0,2026-05-03
"덕신건업 주식회사","2025회합342",2026-03-31,"서울회생법원","",0,2026-05-03
"주식회사 디씨티네트웍스","2025간회합257",2026-03-31,"서울회생법원","",0,2026-05-03
"주식회사 온꿈사","2026회합1042",2026-03-31,"서울회생법원","",0,2026-05-03
"신한종합건설 주식회사","2025회합224",2026-03-31,"서울회생법원","",11,2026-05-03
"농업회사법인 주식회사 참연푸드웰","2025간회합143",2026-03-31,"수원회생법원","",0,2026-05-03
"주식회사 호양전설","2026간회합130",2026-03-31,"수원회생법원","",0,2026-05-03
"주식회사 제일훼밀리","2025간회합217",2026-03-31,"수원회생법원","",0,2026-05-03
"농업회사법인 셰프갈릭 주식회사","2026간회합103",2026-03-31,"수원회생법원","",0,2026-05-03
"주식회사 제일에프앤씨","2025회합1000",2026-03-31,"의정부지방법원","",0,2026-05-03
"주식회사 신신","2026간회합101",2026-03-31,"제주지방법원","",6,2026-05-03
"농업회사법인 별농 주식회사","2026간회합5012",2026-03-30,"광주회생법원","",0,2026-05-03
"주식회사 디에스에스","2026회합121",2026-03-30,"대구회생법원","",0,2026-05-03
"주식회사 서재홍","2026간회합1009",2026-03-30,"대구회생법원","",0,2026-05-03
"주식회사 코시노인터네셔널","2025회합5018",2026-03-30,"대전회생법원","",0,2026-05-03
"농업회사법인 비에스푸드 주식회사","2025회합5005",2026-03-30,"대전회생법원","",0,2026-05-03
"주식회사 기산산업","2025회합1061",2026-03-30,"부산회생법원","",6,2026-05-03
"주식회사 아이테크","2025간회합1045",2026-03-30,"부산회생법원","",0,2026-05-03
"주식회사 씨에스산업전기","2025회합1005",2026-03-30,"부산회생법원","",8,2026-05-03
"주식회사 유틸렉스","2026회합1034",2026-03-30,"서울회생법원","",5,2026-05-03
"주식회사 트리","2026회합1053",2026-03-30,"서울회생법원","",19,2026-05-03
"주식회사 피앤제이인베스트먼트홀딩스","2025회합247",2026-03-30,"서울회생법원","",0,2026-05-03
"주식회사 키스톤디앤씨","2025회합225",2026-03-30,"서울회생법원","",0,2026-05-03
"동우건설 주식회사","2025회합266",2026-03-30,"서울회생법원","",2,2026-05-03
"주식회사 돋움","2025간회합297",2026-03-30,"서울회생법원","",1,2026-05-03
"주식회사 만하임","2025간회합259",2026-03-30,"서울회생법원","",0,2026-05-03
"위너스자산운용 주식회사","2025간회합236",2026-03-30,"서울회생법원","",2,2026-05-03
"주식회사 봉영","2025회합280",2026-03-30,"서울회생법원","",0,2026-05-03
"주식회사 지엔비","2026회합141",2026-03-30,"수원회생법원","",0,2026-05-03
"주식회사 웅진씨케이축산","2026간회합116",2026-03-30,"수원회생법원","",0,2026-05-03
"영농조합법인 금토디벨롭","2025회합183",2026-03-30,"수원회생법원","",0,2026-05-03
"미르호 주식회사","2026간회합127",2026-03-30,"수원회생법원","",0,2026-05-03
"주식회사 나옴","2026간회합124",2026-03-30,"수원회생법원","",2,2026-05-03
"주식회사 지원이앤에스","2026회합142",2026-03-30,"수원회생법원","",0,2026-05-03
"주식회사 지원피앤아이","2026회합143",2026-03-30,"수원회생법원","",0,2026-05-03
"주식회사 덕천건설","2025회합113",2026-03-30,"수원회생법원","",0,2026-05-03
"주식회사 피엠피티","2025회합13",2026-03-30,"인천지방법원","",0,2026-05-03
"농업회사법인 주식회사 강화드림","2025회합11",2026-03-30,"인천지방법원","",0,2026-05-03
"주식회사 심코","2025회합14",2026-03-30,"인천지방법원","",0,2026-05-03
"주식회사 에스비티엔텍","2026간회합500",2026-03-30,"춘천지방법원","",0,2026-05-03
"일신2호태양광발전소 주식회사","2025간회합5011",2026-03-27,"광주회생법원","",0,2026-05-03
"영창중공업 주식회사","2026회합5015",2026-03-27,"광주회생법원","",2,2026-05-03
